CommitHash,CommitSituation,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,Cyclomatic,CountLineCode,CountLineComment
0a7368ecb2acbee7e214cb8b6f3acd5f8d0eb31f,Previous commit,13.0,33.0,28.0,15.0,301891.0,12927.0
88a12e8c5c9b7b912745e0382eb2661264003f19,Current commit,13.0,31.0,27.0,15.0,301313.0,9373.0
381202d2b72f94ef722fd0b0434a75fe0804f1c4,Previous commit,13.0,31.0,27.0,15.0,299230.0,9386.0
3a6893e464ec320a7bf4d8ab988c914be8b8f8d8,Current commit,13.0,31.0,27.0,15.0,300448.0,9329.0
7f0219c937a6dd54c7acffed6fff03ae3c473821,Previous commit,13.0,31.0,27.0,15.0,301313.0,9373.0
e9794802df6ee22bd3b9dc55faffc26d74459c71,Current commit,14.0,30.0,26.0,15.0,325509.0,9072.0
6d75b73f617092b84de986a76e0b5616e6ae22dc,Previous commit,14.0,30.0,26.0,15.0,324593.0,9070.0
7124126c1efcbf48716b675f491c256a590a2f9d,Current commit,13.0,35.0,30.0,15.0,280489.0,14337.0
435e0277f7f8793a5adab1039c1d7877c9dd3731,Previous commit,13.0,34.0,29.0,16.0,321642.0,20509.0
b2644ef1ea42ca96c162698c5f521d3a7966d802,Current commit,13.0,35.0,30.0,15.0,280596.0,14362.0
0d74f2b03c46a2992568b3dec21218fdf5ea328b,Previous commit,13.0,35.0,30.0,15.0,280596.0,14362.0
d4b791b0b2f4117d6b91c41804d9c3ba8279420b,Current commit,13.0,34.0,30.0,15.0,276621.0,13590.0
4e5f12af6bdaef4e3eb164409b5a88410a51f991,Previous commit,13.0,34.0,30.0,15.0,276621.0,13590.0
2b3b90e96d96e35763a5b26bba5ff2c20cbc0ab3,Current commit,13.0,34.0,30.0,15.0,276699.0,13610.0
cc036da2204657b6b574ac536a7675a7a60f2e8c,Previous commit,13.0,34.0,30.0,15.0,276699.0,13610.0
f4c68ad32cb8ac063a10f4da278c05fbaab4c3ed,Current commit,13.0,34.0,30.0,15.0,282239.0,13615.0
988748f4f85d47f0f1e027e68d12c6eec572624c,Previous commit,13.0,34.0,30.0,15.0,282239.0,13615.0
a735bd49489b70345bac41b1882157ac9cb8776e,Current commit,13.0,34.0,29.0,15.0,302671.0,13607.0
b58850ad20780245b6a0ac2c254032c71cfed534,Previous commit,13.0,34.0,29.0,15.0,302671.0,13607.0
cd534214affe087847792de95cca3b524202c7ab,Current commit,13.0,33.0,28.0,15.0,302201.0,12685.0
01bcb51d49d1893f98f2b870ca3962e70ad2d446,Previous commit,13.0,33.0,28.0,15.0,302228.0,12687.0
ee33d2f411341fe64e7da88bbd4118aaa951ae72,Current commit,13.0,31.0,27.0,15.0,299843.0,9129.0
4e240ba1a9bcdea65002c37101fd1889e16c6955,Previous commit,13.0,31.0,27.0,15.0,299843.0,9129.0
08a69620b86cc09121637c916e95966643e57ae7,Current commit,13.0,31.0,27.0,15.0,300354.0,9114.0
8fd91ac3d87caabd00a05bc429777b510388df2b,Previous commit,13.0,31.0,27.0,15.0,300354.0,9114.0
35998c406fd22606c60202308ecad75cfed98f84,Current commit,13.0,31.0,27.0,15.0,299271.0,8972.0
a045ea8a749fa3ee6a76e6398b35d39b4bf8af76,Previous commit,13.0,31.0,27.0,15.0,299271.0,8972.0
219ebd117687b074bd390c1c12fda97884223264,Current commit,13.0,34.0,30.0,16.0,299700.0,22192.0
5cf8428c4cec4bb143192f70376557fe4d61cfec,Previous commit,13.0,34.0,30.0,16.0,299700.0,22192.0
f8016ec0a00d5becfe707b337a3ca82e80239d9a,Current commit,12.0,34.0,30.0,16.0,291253.0,20895.0
291ca7474feaa017627232a8183b284f27affba4,Previous commit,12.0,34.0,30.0,16.0,291253.0,20895.0
4e983741f8b800948fdba6cb2702b4c7fad49f8c,Current commit,13.0,35.0,30.0,15.0,280596.0,14362.0
b2644ef1ea42ca96c162698c5f521d3a7966d802,Previous commit,13.0,35.0,30.0,15.0,280596.0,14362.0
03087a61a61f813196e5b89787a20dbad17239f6,Current commit,13.0,34.0,30.0,15.0,278512.0,14000.0
aad5a024e837b11d93847e6a7fef8528c5ca4f13,Previous commit,13.0,34.0,30.0,15.0,278512.0,14000.0
74f1a6cdceb9b126b16a87d283fcffe9b2456d3d,Current commit,13.0,34.0,30.0,15.0,278992.0,13643.0
20a23dc68714c3635028378e10e12d598c5cc1b5,Previous commit,13.0,34.0,30.0,15.0,278992.0,13643.0
988748f4f85d47f0f1e027e68d12c6eec572624c,Current commit,13.0,34.0,30.0,15.0,282239.0,13615.0
f5c42de05080e4129d0bcbf3ea06ff5bee892924,Previous commit,13.0,34.0,30.0,15.0,282239.0,13615.0
cb6e719d4dddababd51a249e28ada6549fab79f4,Current commit,13.0,33.0,28.0,15.0,298414.0,12952.0
b0a67330095f1ec4c1bf84e46fc3487675d62913,Previous commit,13.0,33.0,28.0,15.0,298414.0,12952.0
71190b97d7c60ae874b3178ae6ad78f355f8a1a4,Current commit,13.0,32.0,28.0,15.0,299076.0,10840.0
667609be6186841d43af43fd88eb6172299667f8,Previous commit,13.0,32.0,28.0,15.0,299076.0,10840.0
a15892b9ff359c2af17400096720e858c22a8898,Current commit,13.0,31.0,27.0,15.0,294946.0,9420.0
1e01c1fbe05e52d52d9fb01c7c1c6559470b2ff2,Previous commit,13.0,31.0,27.0,15.0,294946.0,9420.0
0cc2bb7de79a82f3b138277a4b5a00c9749af948,Current commit,13.0,31.0,27.0,15.0,299256.0,9388.0
d773df7d7c78480de02d8a0feab7d7401df22e50,Previous commit,13.0,31.0,27.0,15.0,299256.0,9388.0
361fffc6a8204dca671872f584684ed015744de2,Current commit,13.0,31.0,27.0,15.0,298800.0,9117.0
f7d3ebbeb9a338b649664041136cb462768f0ea0,Previous commit,13.0,31.0,27.0,15.0,298800.0,9117.0
3b407342c45d128fd3c06d06f40aabcc9606a051,Current commit,13.0,31.0,27.0,15.0,299524.0,8972.0
606303b4d2aca0d7037cd9314a2eb93a59c5fbc4,Previous commit,13.0,31.0,27.0,15.0,299524.0,8972.0
36b56ed2137523c28a1aa2cc4e1b4156dcbfb474,Current commit,14.0,31.0,27.0,15.0,308683.0,8998.0
609b613f0744bdd4aea9f7b9b14a7a5901ca3621,Previous commit,14.0,31.0,27.0,15.0,308683.0,8998.0
f380d556e4795767dbf4519fe15358c39ccec98a,Current commit,14.0,31.0,27.0,15.0,316687.0,9063.0
17cab901e5005be9c3355f5cf9fe8d5994b06994,Previous commit,14.0,31.0,27.0,15.0,316687.0,9063.0
27d42ab2eb3a57a7ced96b8d5832fe1d6705373b,Current commit,14.0,31.0,27.0,15.0,318738.0,9062.0
25e6e43ae9e83e0b94c06c584e678d02ccb460c2,Previous commit,14.0,31.0,27.0,15.0,318738.0,9062.0
83451ec094f5d793ca411e71ed0cdd26122a0a6d,Current commit,14.0,30.0,26.0,15.0,319641.0,9061.0
8857187fdf17479c8e1809ccd63a3c4a0cd4a794,Previous commit,14.0,30.0,26.0,15.0,319641.0,9061.0
add243af25b5c848fa7e3b66bf7083fcd2f21461,Current commit,14.0,30.0,26.0,15.0,325598.0,9072.0
868199909bc1044612119b693b79b6d8c887a768,Previous commit,14.0,30.0,26.0,15.0,325598.0,9072.0
d711a172ba1801ef97a4e6668c8e2b11feb001c0,Current commit,14.0,30.0,26.0,15.0,332335.0,9273.0
3ede770843a0e1aac46b76036b3c9a8d8c758a93,Previous commit,14.0,30.0,26.0,15.0,332335.0,9273.0
55aee4de4969c9e319d9adee20df5d1cc6ee039e,Current commit,12.0,34.0,30.0,16.0,284015.0,26560.0
92aefb1f1407206a2aa287d8b4c56adfde4f04f6,Previous commit,12.0,34.0,30.0,16.0,284015.0,26560.0
7752e4735ea65ada9039386afa431c202c7d31a6,Current commit,12.0,34.0,29.0,15.0,288066.0,25143.0
2b3686e59be5b42924bb8bdacc7feaf3afc5b3e1,Previous commit,12.0,34.0,29.0,15.0,288066.0,25143.0
dd6b280df20ac2a95e8c4ab6984a684867e1f196,Current commit,13.0,34.0,30.0,15.0,281833.0,13623.0
b5e769d8188508ffa2cb1e86ce3bd64ca4945894,Previous commit,13.0,34.0,30.0,15.0,281833.0,13623.0
d5ae00b256914fb8af0ead9a2362f9476c59218c,Current commit,14.0,31.0,27.0,15.0,316158.0,9061.0
55cc0b9e83a7e15c1b7aa990413b882836e11894,Previous commit,14.0,31.0,27.0,15.0,316158.0,9061.0
1b6dc37069a3d3316a4effa70cd1bab3caead275,Current commit,13.0,34.0,30.0,15.0,278992.0,13643.0
74f1a6cdceb9b126b16a87d283fcffe9b2456d3d,Previous commit,13.0,34.0,30.0,15.0,278992.0,13643.0
f4f851b41d50bd26895ffaaa58a3e68ba551f037,Current commit,12.0,34.0,29.0,16.0,296808.0,22804.0
6fed6e4eea0df3d8ebe097c952af2363d53b99e9,Previous commit,12.0,34.0,29.0,16.0,299007.0,23253.0
def6217082e475520c18369a1e6f84efb45c5b9e,Current commit,13.0,34.0,30.0,15.0,276724.0,13590.0
d4b791b0b2f4117d6b91c41804d9c3ba8279420b,Previous commit,13.0,34.0,30.0,15.0,276621.0,13590.0
b770be78e6a06181ad07a2b528a260e93844279f,Current commit,13.0,34.0,30.0,15.0,276699.0,13610.0
1003457c86955b636bc12db9b46b5648609ae55d,Previous commit,13.0,34.0,30.0,15.0,276699.0,13610.0
c33524f28fd1f7ca15c8aa27ef85b7b372bacc12,Current commit,14.0,31.0,27.0,15.0,312544.0,9021.0
8886f04fa9d5fac19aab8d83c59fa73515c1ee02,Previous commit,14.0,31.0,27.0,15.0,312544.0,9021.0
e2de50b1a57fa567862636a1fd1ce3b7c58c3c7b,Current commit,14.0,30.0,26.0,15.0,339015.0,9478.0
ab3668d46d535c85bce853c729092504c6a288e7,Previous commit,14.0,30.0,26.0,15.0,339015.0,9478.0
e1ca4d47fbd57135c88a9124b860205593c33285,Current commit,13.0,29.0,25.0,15.0,358631.0,14078.0
61c3b42bbdb09d6e9db9956a695d974a7708539f,Previous commit,13.0,29.0,25.0,15.0,358631.0,14078.0
f6d9e7e96ed62e22bb302ca33006f6d78c52eac3,Current commit,12.0,34.0,29.0,16.0,294053.0,23244.0
45dd4a930149fad4ec37e735b9a279d3ea41cbb5,Previous commit,12.0,34.0,29.0,16.0,291750.0,23226.0
4e0acb2d8f50fd433d21b2d12bea01d6006d107e,Current commit,13.0,34.0,30.0,15.0,289389.0,13500.0
6bde48c519847a14dcdbeba33b9eb200f3a089cd,Previous commit,13.0,34.0,30.0,15.0,289389.0,13500.0
e19426909ce0ce6f9a8fbfdf2786085999b0948e,Current commit,13.0,31.0,27.0,15.0,299524.0,8972.0
b1e8865c9f680df3d67dd5307d2972110da4e0a1,Previous commit,13.0,31.0,27.0,15.0,299524.0,8972.0
d9299c15ee95637fa11be3f7576f499972371e3d,Current commit,14.0,31.0,27.0,15.0,318738.0,9062.0
edecb31cf3066457488cc1336659541855b84dfb,Previous commit,14.0,31.0,27.0,15.0,318738.0,9062.0
a30bc3fccd9c076a82645ea660052f8600607519,Current commit,14.0,30.0,26.0,15.0,325943.0,9099.0
b8542b075f188539f60c965f1fa13684bddcb772,Previous commit,14.0,30.0,26.0,15.0,325943.0,9099.0
3d2c7d601ffd31b543ffbf01fc28d9010cf21d7c,Current commit,13.0,34.0,30.0,16.0,291766.0,22208.0
e5daf640db8f72628994e1521d1130a15a259637,Previous commit,13.0,34.0,30.0,16.0,291765.0,22208.0
2d52d429eb3be32a13059eb5cb65c200dafeba4f,Current commit,13.0,34.0,30.0,15.0,286459.0,13500.0
c5e340f0e85dd30947bc4270d14991036c95cbac,Previous commit,13.0,34.0,30.0,15.0,286459.0,13500.0
906a84956baa3de272489b3265078e68add952d0,Current commit,13.0,31.0,27.0,15.0,294976.0,9421.0
43476a2a2d510943a7f0eea4e464e7f018686e49,Previous commit,13.0,31.0,27.0,15.0,294976.0,9421.0
7f0219c937a6dd54c7acffed6fff03ae3c473821,Current commit,13.0,31.0,27.0,15.0,301313.0,9373.0
88a12e8c5c9b7b912745e0382eb2661264003f19,Previous commit,13.0,31.0,27.0,15.0,301313.0,9373.0
c79986ee99cb5c73c64f85c43645c63938369912,Current commit,14.0,31.0,27.0,15.0,308683.0,8998.0
94de25eb9fb8be6e6deba38a72afcf7b14ce1d0b,Previous commit,14.0,31.0,27.0,15.0,308683.0,8998.0
0f663dff17cc26ed7d1636bbbb241d320e6744f5,Current commit,14.0,31.0,27.0,15.0,312544.0,9021.0
9f83650da55b7f5f5c89ac0853bea852708c0bdc,Previous commit,14.0,31.0,27.0,15.0,312544.0,9021.0
ccbd1964ab3b57916f5377a467b737e5d53afe7e,Current commit,14.0,31.0,27.0,15.0,315847.0,9039.0
4d8b5032b41e3cf2caf7366df569f3c36ea84372,Previous commit,14.0,31.0,27.0,15.0,315847.0,9039.0
