id,situation,version,groupId,artifactId,release_date,is_updated,justification
25,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-jdbc-logging-logback,2021-08-24 15:54:59,true,using the development version that precedes the final release version.
26,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-memory-store,None,true,using the development version that precedes the final release version.
26,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-memory-store,2021-08-24 15:55:21,true,using the development version that precedes the final release version.
27,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-amqp-1-0-protocol-jdbc-link-store,None,true,using the development version that precedes the final release version.
27,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-amqp-1-0-protocol-jdbc-link-store,2021-08-24 15:55:02,true,using the development version that precedes the final release version.
28,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-amqp-1-0-protocol-bdb-link-store,None,true,using the development version that precedes the final release version.
28,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-amqp-1-0-protocol-bdb-link-store,2021-08-24 15:55:36,true,using the development version that precedes the final release version.
29,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-management-http,None,true,using the development version that precedes the final release version.
29,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-management-http,2021-08-24 15:55:12,true,using the development version that precedes the final release version.
30,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-query-engine,None,true,using the development version that precedes the final release version.
30,latest pom version,None,org.apache.qpid,qpid-broker-plugins-query-engine,None,true,using the development version that precedes the final release version.
31,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-management-amqp,None,true,using the development version that precedes the final release version.
31,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-management-amqp,2021-08-24 15:55:17,true,using the development version that precedes the final release version.
32,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-websocket,None,true,using the development version that precedes the final release version.
32,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-websocket,2021-08-24 15:55:24,true,using the development version that precedes the final release version.
33,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-perftests,None,true,using the development version that precedes the final release version.
33,latest pom version,None,org.apache.qpid,qpid-perftests,None,true,using the development version that precedes the final release version.
34,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-systests-utils,None,true,using the development version that precedes the final release version.
34,latest pom version,None,org.apache.qpid,qpid-systests-utils,None,true,using the development version that precedes the final release version.
35,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-test-utils,None,true,using the development version that precedes the final release version.
35,latest pom version,8.0.6,org.apache.qpid,qpid-test-utils,2021-08-24 15:53:29,true,using the development version that precedes the final release version.
36,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,apache-qpid-broker-j,None,true,using the development version that precedes the final release version.
36,latest pom version,8.0.6,org.apache.qpid,apache-qpid-broker-j,2021-08-24 15:55:46,true,using the development version that precedes the final release version.
37,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,protocol-tests-core,None,true,using the development version that precedes the final release version.
37,latest pom version,None,org.apache.qpid,protocol-tests-core,None,true,using the development version that precedes the final release version.
38,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,protocol-tests-amqp-1-0,None,true,using the development version that precedes the final release version.
38,latest pom version,None,org.apache.qpid,protocol-tests-amqp-1-0,None,true,using the development version that precedes the final release version.
39,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,protocol-tests-amqp-0-8,None,true,using the development version that precedes the final release version.
39,latest pom version,None,org.apache.qpid,protocol-tests-amqp-0-8,None,true,using the development version that precedes the final release version.
40,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,protocol-tests-amqp-0-10,None,true,using the development version that precedes the final release version.
40,latest pom version,None,org.apache.qpid,protocol-tests-amqp-0-10,None,true,using the development version that precedes the final release version.
41,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-systests-jms-core,None,true,using the development version that precedes the final release version.
41,latest pom version,None,org.apache.qpid,qpid-systests-jms-core,None,true,using the development version that precedes the final release version.
42,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-systests-jms_1.1,None,true,using the development version that precedes the final release version.
42,latest pom version,None,org.apache.qpid,qpid-systests-jms_1.1,None,true,using the development version that precedes the final release version.
43,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-systests-jms_2.0,None,true,using the development version that precedes the final release version.
43,latest pom version,None,org.apache.qpid,qpid-systests-jms_2.0,None,true,using the development version that precedes the final release version.
44,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-systests-spawn-admin,None,true,using the development version that precedes the final release version.
44,latest pom version,None,org.apache.qpid,qpid-systests-spawn-admin,None,true,using the development version that precedes the final release version.
45,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-systests-http,None,true,using the development version that precedes the final release version.
45,latest pom version,None,org.apache.qpid,qpid-systests-http,None,true,using the development version that precedes the final release version.
46,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-prometheus-exporter,None,true,using the development version that precedes the final release version.
46,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-prometheus-exporter,2021-08-24 15:55:05,true,Using the latest available version.
47,current pom version,6.3.4,org.apache.qpid,qpid-client,2019-05-14 08:37:27,false,Not updated recently and stable but the project uses old dependency
47,latest pom version,6.4.0,org.apache.qpid,qpid-client,2020-05-28 08:29:30,false,Not updated recently and stable but the project uses old dependency
48,current pom version,2.3.1,javax.xml.bind,jaxb-api,2018-09-12 09:28:52,true,Using the latest available version.
48,latest pom version,2.3.1,javax.xml.bind,jaxb-api,2018-09-12 09:28:52,true,Using the latest available version.
49,current pom version,2.3.1,org.glassfish.jaxb,jaxb-runtime,2018-09-12 15:14:05,false,There are more than 2 versions between the current and the latest.
49,latest pom version,2.3.7,org.glassfish.jaxb,jaxb-runtime,2022-10-18 05:06:36,false,There are more than 2 versions between the current and the latest.
50,current pom version,0.61.0,org.apache.qpid,qpid-jms-client,2021-12-20 13:19:58,false,There are more than 2 versions between the current and the latest.
50,latest pom version,1.7.0,org.apache.qpid,qpid-jms-client,2022-09-16 11:32:35,false,There are more than 2 versions between the current and the latest.
51,current pom version,7.4.5,com.sleepycat,je,None,,
51,latest pom version,18.3.12,com.sleepycat,je,2018-11-29 11:08:39,,
52,current pom version,10.14.2.0,org.apache.derby,derby,2018-05-03 14:58:40,false,There are more than 2 versions between the current and the latest.
